full_id,name,shop,lon,lat
n1915189422,IMON,toys,139.7704,35.6987
n1915191019,Tsukumoパソコン本店Ⅱ,computer,139.7704,35.6988
n1915327204,ぺてぃこーと,massage,139.7704,35.69991
n1915345309,あきばおー零,computer,139.7703,35.6999
n1915285237,GALLERIA,computer,139.7706,35.6995
n1915288800,AKIBAカルチャーズZONE,anime,139.7704,35.6994
n1915281475,富士無線電機,radiotechnics,139.7706,35.6993
n1915283697,ツクモDOSVパソコン館,computer,139.7707,35.6994
n1915275097,アルタクラッセ,camera,139.7705,35.69929
n1915275101,和み屋,massage,139.7704,35.69930
n2287895114,,,139.7297,35.6592
n2287895115,,,139.7287,35.6592
n2286588161,セブン-イレブン,convenience,139.7648,35.69473
n2287895113,,,139.7291,35.6592
n2286588157,ファミリーマート,convenience,139.7640,35.699
n2286588160,サンクス,convenience,139.7698,35.697
n2286541632,デイリーヤマザキ,convenience,139.7614,35.6555
n2286543969,ヤマダ電機,computer,139.7470,35.6461
n2287895131,,,139.7286,35.6594
n2287895132,,,139.7287,35.6594
n2287895126,,,139.7286,35.6593
n2287895129,,,139.7286,35.6593
n2287895119,,,139.7286,35.6593
n2287895122,,,139.7286,35.6593
n2287895116,,,139.7287,35.6593
n2287895118,,,139.7286,35.6593
n2287895141,,,139.7287,35.6594
n2287895143,,,139.7287,35.6594
n2287895139,,,139.7287,35.6594
n2287895140,,,139.7287,35.6594
n2287895136,,,139.7288,35.6594
n2287895137,,,139.7287,35.6594
n2287895133,,,139.7287,35.6594
n2287895135,,,139.7286,35.6594
n2287895167,,,139.7297,35.6595
n2287895169,,,139.7296,35.6595
n2287895154,,,139.7287,35.65951
n2287895156,,,139.7287,35.6595
n2287895147,,,139.7287,35.6594
n2287895144,,,139.7287,35.6594
n2287895146,,,139.7287,35.6594
n2287895220,,,139.7291,35.6597
n2287895237,,,139.7287,35.6597
n2287895182,,,139.7296,35.6596
n2287895192,,,139.7292,35.6597
n2287895174,,,139.7288,35.6596
n2287895176,,,139.7286,35.6596
n2287895170,,,139.7289,35.6595
n2287895173,,,139.7288,35.6596
n2287895299,,,139.7291,35.6599
n2287895301,,,139.7292,35.6599
n2287895296,,,139.7289,35.6599
n2287895298,,,139.7287,35.6599
n2287895289,,,139.7288,35.6599
n2287895272,,,139.7285,35.6598
n2287895282,,,139.7295,35.6599
n2287895341,,,139.7287,35.6601
